region,time,y1,y2,x_common1,x_common2,x_specific1_1,x_specific2_1
69,2,-0.3481513110117564,0.33709939307924136,7.992370058006393,7.7691673493463025,-0.43,77.2
70,1,-1.0387114080337272,0.14647805630253616,8.00706732276452,7.002792694316889,0.12,75.7
70,2,-0.910698338422269,-0.04261830977995519,8.071156057543025,7.36593933142253,-0.03,76.8
71,1,-0.699965227793297,-0.1981653205897466,8.150814172015275,6.362165662779806,-0.15,46.8
71,2,-0.5440404878998555,-0.33998759515161575,8.149890544402423,6.729585093310658,-0.17,45.8
72,1,-0.7405640209307268,0.09615402339348623,8.089482474360754,6.63200177739563,-0.39,33.7
72,2,-0.5161288176178722,-0.10819204963114175,8.13803889809787,6.981563206126856,-0.1,37.2
73,1,-0.7179809422480314,0.36454886557508687,8.031742873981475,7.9005625087532705,-0.24,44.4
73,2,-0.6287904685742403,0.37522366043458244,8.069780455500307,7.893758623267592,-0.12,46.7
74,1,-0.7031370085071585,-0.13411655143277393,7.9527206284194705,6.5771657055190795,-0.33,47.2
74,2,-0.3642639570381737,-0.1752907601765422,7.955600450596593,6.8885724595653635,-0.33,48.5
75,1,-0.8900183281678906,0.2120517961537227,8.068747510733607,6.5738198220128945,-0.29,31.0
75,2,-0.6333578328022013,-0.013643866589896346,8.087240699656801,6.771591854169266,-0.27,33.4
76,1,-0.7889019590099793,-0.12496672726749226,8.128142624576167,6.123150487933357,0.09,23.2
76,2,-0.46753713708151096,-0.39641151083752013,8.163257349852005,6.501289670540389,0.08,23.7
77,1,-0.731683034931914,-0.8539027191016126,8.196547058740789,6.2373475853916815,0.12,43.9
77,2,-0.5496228219562522,-0.9347261658949358,8.186714954830853,6.468319651302819,0.06,45.4
78,1,-0.4780674490515321,-0.4574103386060661,8.0129789972379,6.122712083717655,-0.59,18.7
78,2,0.10934633915565606,-0.5336588733167482,8.016086848711158,6.504737174517024,-0.98,21.6
79,1,-0.8770774628553348,-0.3659120969532474,8.129322391709024,6.190110466821792,-0.29,28.9
79,2,-0.6333578328022013,-0.6465067046885574,8.149312843635345,6.586585362369367,0.76,30.8
80,1,0.8171609232610348,-1.1283974440600684,8.072498570116071,5.820379622240015,-1.99,12.6
