"parameter","model_id","gamma","criterion","estimate","se_psi","se_hessian","signif_psi","signif_hessian","SE_ratio"
"beta_x_common2_y2","0101",4.46683592150963,"pAIC",0.164582343191474,0.0494119995911504,0.0505249648651162,"***","**",1.02252419013954
"beta_x_specific2_1_y2","0101",4.46683592150963,"pAIC",0.00406529674523147,0.00167969370820361,0.00169361073444165,"*","*",1.0082854547648
"A[1,1]","0101",4.46683592150963,"pAIC",,,,"","",
"A[1,2]","0101",4.46683592150963,"pAIC",,,,"","",
"A[2,1]","0101",4.46683592150963,"pAIC",,,,"","",
"A[2,2]","0101",4.46683592150963,"pAIC",,,,"","",
"R[1,1]","0101",4.46683592150963,"pAIC",,,,"","",
"R[1,2]","0101",4.46683592150963,"pAIC",,,,"","",
"R[2,1]","0101",4.46683592150963,"pAIC",,,,"","",
"R[2,2]","0101",4.46683592150963,"pAIC",,,,"","",
"Lambda[1,1]","0101",4.46683592150963,"pAIC",0.673365463076706,,0.0801571360277069,"","***",
"Lambda[1,2]","0101",4.46683592150963,"pAIC",-0.00176572517100905,,0.0688078031975345,"","",
"Lambda[2,1]","0101",4.46683592150963,"pAIC",-0.237858214455017,,0.110359893337236,"","*",
"Lambda[2,2]","0101",4.46683592150963,"pAIC",0.781856582496533,,0.0436178669775174,"","***",
"Sigma[1,1]","0101",4.46683592150963,"pAIC",0.263059591906443,,,"","",
"Sigma[1,2]","0101",4.46683592150963,"pAIC",-0.035459014466165,,,"","",
"Sigma[2,2]","0101",4.46683592150963,"pAIC",0.258783302309534,,,"","",
"beta_intercept_y1","1001",6.30957344480193,"pAIC",18.9296132042532,2.52581406266802,0.173450752405525,"***","***",0.0686712276129738
"beta_x_common1_y1","1001",6.30957344480193,"pAIC",-2.19106973956267,0.321072614149203,0.0435047608302268,"***","***",0.135498198578874
"beta_x_common2_y1","1001",6.30957344480193,"pAIC",-0.205278981009796,0.0467884922170451,0.0696041230145204,"***","**",1.48763338411584
"beta_x_specific1_1_y1","1001",6.30957344480193,"pAIC",-0.383295025170776,0.0696400440735633,0.0498121858221238,"***","***",0.715280791171031
"beta_intercept_y2","1001",6.30957344480193,"pAIC",12.5407220708712,2.13461885130091,0.146542271262492,"***","***",0.068650321893852
"beta_x_common1_y2","1001",6.30957344480193,"pAIC",-1.7519167174628,0.272326880088056,0.0453543763388976,"***","***",0.166543884041974
"beta_x_common2_y2","1001",6.30957344480193,"pAIC",0.202979799801609,0.0461997369740836,0.0687793563954863,"***","**",1.48873913360306
"beta_x_specific2_1_y2","1001",6.30957344480193,"pAIC",0.00388154346852941,0.00163981947733129,0.00165668561752095,"*","*",1.01028536398233
"A[1,1]","1001",6.30957344480193,"pAIC",,,,"","",
"A[1,2]","1001",6.30957344480193,"pAIC",,,,"","",
"A[2,1]","1001",6.30957344480193,"pAIC",,,,"","",
"A[2,2]","1001",6.30957344480193,"pAIC",,,,"","",
"R[1,1]","1001",6.30957344480193,"pAIC",0.520591754225513,,0.0405221207546075,"","***",
"R[1,2]","1001",6.30957344480193,"pAIC",-0.0353125502179309,,0.0304124624041898,"","",
"R[2,1]","1001",6.30957344480193,"pAIC",-0.216431985434866,,0.0304531877932135,"","***",
"R[2,2]","1001",6.30957344480193,"pAIC",0.735077899819793,,0.0344500226672304,"","***",
"Lambda[1,1]","1001",6.30957344480193,"pAIC",,,,"","",
"Lambda[1,2]","1001",6.30957344480193,"pAIC",,,,"","",
"Lambda[2,1]","1001",6.30957344480193,"pAIC",,,,"","",
"Lambda[2,2]","1001",6.30957344480193,"pAIC",,,,"","",
"Sigma[1,1]","1001",6.30957344480193,"pAIC",0.273263323811898,,,"","",
"Sigma[1,2]","1001",6.30957344480193,"pAIC",-0.0238079559193931,,,"","",
"Sigma[2,2]","1001",6.30957344480193,"pAIC",0.252646102839696,,,"","",
