"parameter","estimate.1111","se_psi.1111","se_hessian.1111","signif_psi.1111","signif_hessian.1111","estimate.0111","se_psi.0111","se_hessian.0111","signif_psi.0111","signif_hessian.0111","estimate.1011","se_psi.1011","se_hessian.1011","signif_psi.1011","signif_hessian.1011","estimate.1101","se_psi.1101","se_hessian.1101","signif_psi.1101","signif_hessian.1101","estimate.0101","se_psi.0101","se_hessian.0101","signif_psi.0101","signif_hessian.0101","estimate.1001","se_psi.1001","se_hessian.1001","signif_psi.1001","signif_hessian.1001","estimate.d0dd","se_psi.d0dd","se_hessian.d0dd","signif_psi.d0dd","signif_hessian.d0dd","estimate.0ddd","se_psi.0ddd","se_hessian.0ddd","signif_psi.0ddd","signif_hessian.0ddd","estimate.dddd","se_psi.dddd","se_hessian.dddd","signif_psi.dddd","signif_hessian.dddd","estimate.0011","se_psi.0011","se_hessian.0011","signif_psi.0011","signif_hessian.0011","estimate.000d","se_psi.000d","se_hessian.000d","signif_psi.000d","signif_hessian.000d"
"Sigma[1,1]",0.0219960408486039,,,"","",0.02289735376203,,,"","",0.0273177764274833,,,"","",0.274254353409159,,,"","",0.265975357602105,,,"","",0.275099178778956,,,"","",0.0273202099742035,,,"","",0.0226987965124556,,,"","",0.022006946084914,,,"","",0.0273182104801378,,,"","",0.419821631640444,,,"",""
"Sigma[1,2]",-0.0015288947942995,,,"","",-0.00126079778180752,,,"","",-0.000856072773931394,,,"","",-0.0302427209421229,,,"","",-0.0364995753349143,,,"","",-0.0244892243830114,,,"","",0,,,"","",0,,,"","",0,,,"","",-0.000854226486552966,,,"","",0,,,"",""
"Sigma[2,2]",0.0195062582921382,,,"","",0.0198083409230308,,,"","",0.0216430105981245,,,"","",0.270932225645247,,,"","",0.262208609427144,,,"","",0.255610793977063,,,"","",0.0221740365494937,,,"","",0.0199313276134332,,,"","",0.0199133156880552,,,"","",0.0216462754058447,,,"","",0.74188791938678,,,"",""
"loglik",198.123894774516,,,"","",193.51395713416,,,"","",174.118875417821,,,"","",-318.890145980634,,,"","",-323.92755624604,,,"","",-318.948714200862,,,"","",171.513353388901,,,"","",190.423524128057,,,"","",193.188726521102,,,"","",174.101819854977,,,"","",-442.376940635453,,,"",""
"AIC",-350.247789549033,,,"","",-349.027914268321,,,"","",-310.237750835642,,,"","",675.780291961267,,,"","",677.85511249208,,,"","",667.897428401725,,,"","",-315.026706777802,,,"","",-352.847048256114,,,"","",-354.377453042205,,,"","",-318.203639709954,,,"","",904.753881270906,,,"",""
"BIC",-258.67526269018,,,"","",-273.381044254485,,,"","",-234.590880821807,,,"","",751.427161975102,,,"","",737.576325660898,,,"","",727.618641570542,,,"","",-259.286907820239,,,"","",-297.107249298552,,,"","",-290.674825662133,,,"","",-258.482426541137,,,"","",944.568023383451,,,"",""
"pAIC",-362.230510650033,,,"","",-356.17623229894,,,"","",-318.225871302575,,,"","",666.386698904753,,,"","",677.124136793228,,,"","",667.362970063061,,,"","",-315.026706777802,,,"","",-352.847048256114,,,"","",-354.377453042205,,,"","",-318.203639709954,,,"","",904.753881270906,,,"",""
"pBIC",-294.51207183169,,,"","",-294.759569781942,,,"","",-258.481009462869,,,"","",723.333676473615,,,"","",735.3901914443,,,"","",726.020233219438,,,"","",-259.286907820239,,,"","",-297.107249298552,,,"","",-290.674825662133,,,"","",-258.482426541137,,,"","",944.568023383451,,,"",""
"d_eff",17.0086394495,,,"","",15.4258409846904,,,"","",15.0059397665337,,,"","",14.303203471743,,,"","",14.6345121505741,,,"","",14.732770830668,,,"","",14,,,"","",14,,,"","",16,,,"","",15,,,"","",10,,,"",""
"gamma",7.07945784384138,,,"","",5.62341325190349,,,"","",1e+06,,,"","",56.2341325190349,,,"","",15.8489319246111,,,"","",19.9526231496888,,,"","",0,,,"","",0,,,"","",0,,,"","",0,,,"","",0,,,"",""
"n_params",23,,,"","",19,,,"","",19,,,"","",19,,,"","",15,,,"","",15,,,"","",14,,,"","",14,,,"","",16,,,"","",15,,,"","",10,,,"",""
"pseudo_R2",0.97662408694662,,,"","",0.976099327580514,,,"","",0.976170982439059,,,"","",0.519582355513167,,,"","",0.38715410577533,,,"","",0.514711869018375,,,"","",0.975657409133619,,,"","",0.975466798012761,,,"","",0.975758780569276,,,"","",0.97616939721082,,,"","",0.437988369917316,,,"",""
"adj_R2",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",0.974760572520416,,,"","",0.974363227641933,,,"","",0.974696214546235,,,"","",0.975420791042338,,,"","",0.429297468421192,,,"",""
"pseudo_R2_y1",0.974571740822162,,,"","",0.974196460267148,,,"","",0.974277444217577,,,"","",0.628442922789508,,,"","",0.604474258341197,,,"","",0.622330111952614,,,"","",0.974311768143628,,,"","",0.974197899021466,,,"","",0.974466095025664,,,"","",0.97427694439751,,,"","",0.612678429025528,,,"",""
"pseudo_R2_y2",0.978676433071077,,,"","",0.97800219489388,,,"","",0.978064520660541,,,"","",0.410721788236827,,,"","",0.169833953209463,,,"","",0.407093626084136,,,"","",0.977003050123609,,,"","",0.976735697004056,,,"","",0.977051466112888,,,"","",0.978061850024129,,,"","",0.263298310809104,,,"",""
