"parameter","model_id","gamma","criterion","estimate","se_psi","se_hessian","signif_psi","signif_hessian","SE_ratio"
"beta_x_common2_y1","1001",19.9526231496888,"pBIC",-0.209407012679329,0.046945307985142,0.0679079312312193,"***","**",1.44653287294892
"beta_x_specific1_1_y1","1001",19.9526231496888,"pBIC",-0.389890423678073,0.069862360764716,0.0502139152261749,"***","***",0.718754915759094
"beta_intercept_y2","1001",19.9526231496888,"pBIC",12.3154127027942,2.14710579222241,0.145913435572506,"***","***",0.0679581956795313
"beta_x_common1_y2","1001",19.9526231496888,"pBIC",-1.73185424252069,0.273919954500956,0.0459924695194433,"***","***",0.167904779347803
"beta_x_common2_y2","1001",19.9526231496888,"pBIC",0.211461828075544,0.0464695428102658,0.0693849133664147,"***","**",1.49312666254781
"beta_x_specific2_1_y2","1001",19.9526231496888,"pBIC",0.00398422551525993,0.00164914779921763,0.00166655209517259,"*","*",1.01055350888697
"A[1,1]","1001",19.9526231496888,"pBIC",,,,"","",
"A[1,2]","1001",19.9526231496888,"pBIC",,,,"","",
"A[2,1]","1001",19.9526231496888,"pBIC",,,,"","",
"A[2,2]","1001",19.9526231496888,"pBIC",,,,"","",
"R[1,1]","1001",19.9526231496888,"pBIC",0.493385250392212,,0.039697089419096,"","***",
"R[1,2]","1001",19.9526231496888,"pBIC",-0.0450420247242906,,0.0306106157836603,"","",
"R[2,1]","1001",19.9526231496888,"pBIC",-0.206040176372761,,0.0302926316502022,"","***",
"R[2,2]","1001",19.9526231496888,"pBIC",0.719302723656227,,0.0342887316569651,"","***",
"Lambda[1,1]","1001",19.9526231496888,"pBIC",,,,"","",
"Lambda[1,2]","1001",19.9526231496888,"pBIC",,,,"","",
"Lambda[2,1]","1001",19.9526231496888,"pBIC",,,,"","",
"Lambda[2,2]","1001",19.9526231496888,"pBIC",,,,"","",
"Sigma[1,1]","1001",19.9526231496888,"pBIC",0.275099178778956,,,"","",
"Sigma[1,2]","1001",19.9526231496888,"pBIC",-0.0244892243830114,,,"","",
"Sigma[2,2]","1001",19.9526231496888,"pBIC",0.255610793977063,,,"","",
