"dgp","paramset","n","rep","seed","selected_pAIC","selected_pBIC","true_model","hit_pAIC","hit_pBIC","n_models_ok","pAIC_1111","pBIC_1111","pAIC_0111","pBIC_0111","pAIC_1011","pBIC_1011","pAIC_1101","pBIC_1101","pAIC_0101","pBIC_0101","pAIC_1001","pBIC_1001","pAIC_0011","pBIC_0011","pAIC_000d","pBIC_000d","pAIC_d0dd","pBIC_d0dd","pAIC_0ddd","pBIC_0ddd","pAIC_dddd","pBIC_dddd"
"1111","weak",100,47,31360758,"1111","d0dd","1111",1,0,11,113.179781802182,173.891772340352,115.710132167565,172.611648445938,118.391736068322,173.700143877099,264.317904645137,309.268903212704,265.491604353234,307.970774148603,268.938492074563,308.874511545983,122.952267629331,172.427028127552,320.608779433301,353.591953098781,121.429789244213,167.606232375886,130.014574044745,176.191017176417,125.142158600604,177.915236465373
"1111","weak",100,48,31360759,"0111","0011","1111",0,0,11,115.23219351282,168.092261515304,114.595601103608,164.494095739574,115.290218804494,167.876192386196,274.027539586764,312.890388058092,272.039938812898,310.671792259412,274.248942773274,312.534551764863,114.790535990281,164.265296488501,330.654071418322,363.637245083803,125.233929417805,171.410372549478,126.64303055622,172.819473687892,128.155386287863,180.928464152632
"1111","weak",100,49,31360760,"0111","0011","1111",0,0,11,106.025733863327,158.203678010264,102.248531188701,155.910920282189,106.317375783167,158.17836853524,291.50217558826,333.683582084679,286.683049157221,329.885878193916,296.248091286978,333.86081623956,106.420507493921,155.895267992141,353.674003684475,386.657177349956,130.414211603517,176.59065473519,132.674830140501,178.851273272174,134.155380932568,186.928458797337
"1111","weak",100,50,31360761,"1011","d0dd","1111",0,0,11,125.380593079039,181.53954907889,139.981094613691,189.779966698463,124.87294684162,180.847804081304,300.527088067619,339.793571070664,299.976898796844,336.650778597289,300.378205217883,339.288805441817,139.992897224625,189.467657722845,350.412269838631,383.395443504111,131.497512945255,177.673956076927,150.367469141312,196.543912272985,134.704943082132,187.478020946901
"1111","weak",100,51,31360762,"1011","d0dd","1111",0,0,11,91.6734456827636,147.974967936569,100.474985270902,151.563300122828,90.6604071440515,147.781909470341,287.352903463613,326.46098381956,287.857467500132,324.648207923761,286.487370788323,325.964550468127,101.985576489944,151.460336988164,347.554052720994,380.537226386475,98.8563886126263,145.032831744299,109.887154454511,156.063597586183,101.742869352457,154.515947217225
"1111","weak",100,52,31360763,"1111","1011","1111",1,0,11,126.093224122855,183.336655864645,132.466991616375,185.904244771037,126.903712015366,183.242129744526,301.718409380035,347.615752894355,301.584292195814,346.657544014363,302.653044710645,346.77931274051,136.300102615683,185.774863113903,397.308448323296,430.291621988776,147.710227829155,193.886670960828,155.811680360968,201.988123492641,150.039711560755,202.812789425523
"1111","weak",100,53,31360764,"1011","0011","1111",0,0,11,116.641025496339,169.381094643292,117.584157174835,167.333936844308,116.543890446217,169.051341442828,276.788563808194,315.401324388712,275.909525155245,313.332894276021,276.963270411933,315.161340770412,117.455266337397,166.930026835617,330.43011088865,363.41328455413,126.692473736583,172.868916868255,129.362627346873,175.539070478545,130.176780989415,182.949858854184
"1111","weak",100,54,31360765,"1111","d0dd","1111",1,0,11,136.354820555653,190.987020734788,138.168980926421,192.449012093335,136.444739560354,190.906531946134,310.565055574029,349.066184254001,310.312959770798,347.208302882898,310.620167182045,348.75986572369,143.737755348231,193.212515846452,356.115634707633,389.098808373114,139.811975587981,185.988418719653,142.405011501273,188.581454632946,140.644625480582,193.41770334535
"1111","weak",100,55,31360766,"0111","0111","1111",0,0,11,63.7778482346216,117.420676199549,61.329878585497,115.014032386488,64.3294247129221,117.41088319991,246.99504862924,286.302588027515,243.281609908882,283.528965598166,247.949274131047,286.412539286551,65.8760438898962,115.350804388117,325.198826434719,358.182000100199,91.1297260218201,137.306169153493,90.2984244887011,136.474867620374,92.3688459728063,145.141923837575
"1111","weak",100,56,31360767,"1011","d0dd","1111",0,0,11,89.5145309540371,147.174385911095,103.766600273444,154.027954586233,89.3017184352088,146.351847637585,263.773758747011,306.509106727589,267.108806485219,305.694875186606,263.932679972463,306.043218760383,104.371762772455,153.846523270675,329.564602487153,362.547776152633,96.1889439158996,142.365387047572,114.553255031997,160.729698163669,95.3605762019202,148.133654066689
