"parameter","model_id","gamma","criterion","estimate","se_psi","se_hessian","signif_psi","signif_hessian","SE_ratio"
"beta_x_common1_y1","0101",8.91250938133745,"pBIC",1.06605449624128,0.0476986524238558,0.0477878195838744,"***","***",1.00186938530729
"beta_x_common2_y1","0101",8.91250938133745,"pBIC",-0.54136096172019,0.0475172345426815,0.0475631824103243,"***","***",1.00096697268023
"beta_x_specific1_1_y1","0101",8.91250938133745,"pBIC",0.780138094878613,0.032460563147,0.0328205511634465,"***","***",1.01109001143376
"beta_intercept_y2","0101",8.91250938133745,"pBIC",-0.115280300224835,0.112504589002474,0.112539593331958,"","",1.00031113690379
"beta_x_common1_y2","0101",8.91250938133745,"pBIC",0.737051210776846,0.0409589009715597,0.0410366178863508,"***","***",1.00189743652656
"beta_x_common2_y2","0101",8.91250938133745,"pBIC",-0.298877273649747,0.0408214496688754,0.0408528886994478,"***","***",1.00077015958099
"beta_x_specific2_1_y2","0101",8.91250938133745,"pBIC",0.493199006979744,0.0290281392716831,0.0291067606588985,"***","***",1.00270845425122
"A[1,1]","0101",8.91250938133745,"pBIC",,,,"","",
"A[1,2]","0101",8.91250938133745,"pBIC",,,,"","",
"A[2,1]","0101",8.91250938133745,"pBIC",,,,"","",
"A[2,2]","0101",8.91250938133745,"pBIC",,,,"","",
"R[1,1]","0101",8.91250938133745,"pBIC",,,,"","",
"R[1,2]","0101",8.91250938133745,"pBIC",,,,"","",
"R[2,1]","0101",8.91250938133745,"pBIC",,,,"","",
"R[2,2]","0101",8.91250938133745,"pBIC",,,,"","",
"Lambda[1,1]","0101",8.91250938133745,"pBIC",0.587804051959788,0.0785022768109379,0.0745100295279401,"***","***",0.949144821715011
"Lambda[1,2]","0101",8.91250938133745,"pBIC",-0.159468685194867,0.0874536854052352,0.0829564259885944,".",".",0.948575530055689
"Lambda[2,1]","0101",8.91250938133745,"pBIC",0.0809962884231698,0.0812879953805894,0.0768420460946447,"","",0.945306200932514
"Lambda[2,2]","0101",8.91250938133745,"pBIC",0.59259815394139,0.0614591052294703,0.0607009123022394,"***","***",0.987663456465887
"Sigma[1,1]","0101",8.91250938133745,"pBIC",0.923684275603551,,,"","",
"Sigma[1,2]","0101",8.91250938133745,"pBIC",0.594988976776835,,,"","",
"Sigma[2,2]","0101",8.91250938133745,"pBIC",0.704710887685023,,,"","",
"beta_intercept_y1","1001",35.4813389233575,"pBIC",0.339499845459042,0.0482434200826259,0.0607532056692772,"***","***",1.25930552944269
"beta_x_common1_y1","1001",35.4813389233575,"pBIC",1.09082660446779,0.049489346610192,0.0495772588730525,"***","***",1.00177638762445
"beta_x_common2_y1","1001",35.4813389233575,"pBIC",-0.549028220690346,0.0489666429969356,0.0489974430116096,"***","***",1.00062899992299
"beta_x_specific1_1_y1","1001",35.4813389233575,"pBIC",0.798908352240027,0.0326214260761351,0.0329084522022716,"***","***",1.00879869952548
"beta_intercept_y2","1001",35.4813389233575,"pBIC",-0.0612159808214158,0.0430591441884915,0.0548504158095774,"","",1.27383896831459
"beta_x_common1_y2","1001",35.4813389233575,"pBIC",0.762074100436147,0.0441707830182181,0.0442422357925444,"***","***",1.00161764789854
"beta_x_common2_y2","1001",35.4813389233575,"pBIC",-0.303207319040252,0.0436233198475239,0.0436427033093844,"***","***",1.00044433715564
"beta_x_specific2_1_y2","1001",35.4813389233575,"pBIC",0.502768645266491,0.0308203172287563,0.0308829258830858,"***","***",1.002031408498
"A[1,1]","1001",35.4813389233575,"pBIC",,,,"","",
"A[1,2]","1001",35.4813389233575,"pBIC",,,,"","",
"A[2,1]","1001",35.4813389233575,"pBIC",,,,"","",
"A[2,2]","1001",35.4813389233575,"pBIC",,,,"","",
"R[1,1]","1001",35.4813389233575,"pBIC",0.412582539944066,0.0441746343734698,0.0536381312955601,"***","***",1.21422920769603
"R[1,2]","1001",35.4813389233575,"pBIC",-0.148606171444782,0.0584170294931729,0.0629694563508705,"*","*",1.0779297902888
"R[2,1]","1001",35.4813389233575,"pBIC",0.0392723699426275,0.040874410369501,0.0503031958401643,"","",1.23067697822251
"R[2,2]","1001",35.4813389233575,"pBIC",0.469782470957552,0.048530285533857,0.0534086737595097,"***","***",1.10052255353514
"Lambda[1,1]","1001",35.4813389233575,"pBIC",,,,"","",
"Lambda[1,2]","1001",35.4813389233575,"pBIC",,,,"","",
"Lambda[2,1]","1001",35.4813389233575,"pBIC",,,,"","",
"Lambda[2,2]","1001",35.4813389233575,"pBIC",,,,"","",
"Sigma[1,1]","1001",35.4813389233575,"pBIC",0.930086888106936,,,"","",
"Sigma[1,2]","1001",35.4813389233575,"pBIC",0.610697792627081,,,"","",
"Sigma[2,2]","1001",35.4813389233575,"pBIC",0.740024297346226,,,"","",
