"parameter","estimate.1111","se_psi.1111","se_hessian.1111","signif_psi.1111","signif_hessian.1111","estimate.0111","se_psi.0111","se_hessian.0111","signif_psi.0111","signif_hessian.0111","estimate.1011","se_psi.1011","se_hessian.1011","signif_psi.1011","signif_hessian.1011","estimate.1101","se_psi.1101","se_hessian.1101","signif_psi.1101","signif_hessian.1101","estimate.0101","se_psi.0101","se_hessian.0101","signif_psi.0101","signif_hessian.0101","estimate.1001","se_psi.1001","se_hessian.1001","signif_psi.1001","signif_hessian.1001","estimate.d0dd","se_psi.d0dd","se_hessian.d0dd","signif_psi.d0dd","signif_hessian.d0dd","estimate.0ddd","se_psi.0ddd","se_hessian.0ddd","signif_psi.0ddd","signif_hessian.0ddd","estimate.dddd","se_psi.dddd","se_hessian.dddd","signif_psi.dddd","signif_hessian.dddd","estimate.0011","se_psi.0011","se_hessian.0011","signif_psi.0011","signif_hessian.0011","estimate.000d","se_psi.000d","se_hessian.000d","signif_psi.000d","signif_hessian.000d"
"Sigma[1,1]",0.0996847031098773,,,"","",0.110116721285397,,,"","",0.101718896244946,,,"","",0.930689408113316,,,"","",0.923684275603551,,,"","",0.930086888106936,,,"","",0.107311532999737,,,"","",0.109716894655787,,,"","",0.100530248286432,,,"","",0.179829310363259,,,"","",1.05605341489686,,,"",""
"Sigma[1,2]",0.0330033535954141,,,"","",0.0426994564731414,,,"","",0.032889288250999,,,"","",0.609207763986546,,,"","",0.594988976776835,,,"","",0.610697792627081,,,"","",0,,,"","",0,,,"","",0,,,"","",0.0780506009846131,,,"","",0,,,"",""
"Sigma[2,2]",0.102060072733531,,,"","",0.11446099153246,,,"","",0.103035501062476,,,"","",0.734112803618375,,,"","",0.704710887685023,,,"","",0.740024297346226,,,"","",0.115546246129354,,,"","",0.125668021017688,,,"","",0.114110009083431,,,"","",0.189143002615963,,,"","",0.956095503236933,,,"",""
"loglik",-203.936851556831,,,"","",-272.595070887653,,,"","",-211.128834900518,,,"","",-910.549768081201,,,"","",-914.801418922594,,,"","",-916.327972722808,,,"","",-265.709221410299,,,"","",-324.559570925381,,,"","",-254.336350211876,,,"","",-419.479596567195,,,"","",-1133.05895105367,,,"",""
"AIC",453.873703113662,,,"","",583.190141775307,,,"","",460.257669801035,,,"","",1859.0995361624,,,"","",1859.60283784519,,,"","",1862.65594544562,,,"","",559.418442820599,,,"","",677.119141850762,,,"","",540.672700423751,,,"","",868.95919313439,,,"","",2286.11790210733,,,"",""
"BIC",561.619772850024,,,"","",672.197764600998,,,"","",549.265292626726,,,"","",1948.10715898809,,,"","",1929.87201376021,,,"","",1932.92512136063,,,"","",625.00300700795,,,"","",742.703706038113,,,"","",615.626488066438,,,"","",939.228369049408,,,"","",2332.96401938401,,,"",""
"pAIC",448.179415523424,,,"","",581.948644957887,,,"","",459.943910336634,,,"","",1851.25859366028,,,"","",1857.73211195779,,,"","",1861.23490655811,,,"","",559.418442820599,,,"","",677.119141850762,,,"","",540.672700423751,,,"","",868.95919313439,,,"","",2286.11790210733,,,"",""
"pBIC",542.587722046814,,,"","",668.048302508204,,,"","",548.216612529026,,,"","",1921.90033088528,,,"","",1923.61947565714,,,"","",1928.17557475417,,,"","",625.00300700795,,,"","",742.703706038113,,,"","",615.626488066438,,,"","",939.228369049408,,,"","",2332.96401938401,,,"",""
"d_eff",20.1528562048808,,,"","",18.3792515912901,,,"","",18.8431202677996,,,"","",15.0795287489405,,,"","",14.0646370563019,,,"","",14.2894805562449,,,"","",14,,,"","",14,,,"","",16,,,"","",15,,,"","",10,,,"",""
"gamma",100,,,"","",10,,,"","",39.8107170553497,,,"","",70.7945784384138,,,"","",8.91250938133745,,,"","",35.4813389233575,,,"","",0,,,"","",0,,,"","",0,,,"","",0,,,"","",0,,,"",""
"n_params",23,,,"","",19,,,"","",19,,,"","",19,,,"","",15,,,"","",15,,,"","",14,,,"","",14,,,"","",16,,,"","",15,,,"","",10,,,"",""
"pseudo_R2",0.949893441474797,,,"","",0.921961664031418,,,"","",0.950011785715409,,,"","",0.602350291008046,,,"","",0.588384179499251,,,"","",0.600750613829686,,,"","",0.951839191399732,,,"","",0.943795120828465,,,"","",0.952917075186792,,,"","",0.922341300623318,,,"","",0.589096335097387,,,"",""
"adj_R2",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",0.952229875550569,,,"","",0.949131920707966,,,"","",0.95355171794787,,,"","",0.921355784133767,,,"","",0.585983428545095,,,"",""
