"parameter","model_id","gamma","criterion","estimate","se_psi","se_hessian","signif_psi","signif_hessian","SE_ratio"
"Lambda[1,1]","1011",12.5892541179417,"pAIC",,,,"","",
"Lambda[1,2]","1011",12.5892541179417,"pAIC",,,,"","",
"Lambda[2,1]","1011",12.5892541179417,"pAIC",,,,"","",
"Lambda[2,2]","1011",12.5892541179417,"pAIC",,,,"","",
"Sigma[1,1]","1011",12.5892541179417,"pAIC",0.10160241489551,,,"","",
"Sigma[1,2]","1011",12.5892541179417,"pAIC",0.0329862691434138,,,"","",
"Sigma[2,2]","1011",12.5892541179417,"pAIC",0.102897784072394,,,"","",
"beta_intercept_y1","1101",17.7827941003892,"pAIC",0.361613108336849,0.0593405484335544,0.0793667305078672,"***","***",1.33747888421923
"beta_x_common1_y1","1101",17.7827941003892,"pAIC",1.0974379761142,0.0488253239770764,0.0490574863468385,"***","***",1.00475495810066
"beta_x_common2_y1","1101",17.7827941003892,"pAIC",-0.555472757875095,0.0484455036368793,0.0485215601315868,"***","***",1.00156993918935
"beta_x_specific1_1_y1","1101",17.7827941003892,"pAIC",0.799978320364804,0.032515472776957,0.0326587314182431,"***","***",1.0044058606273
"beta_intercept_y2","1101",17.7827941003892,"pAIC",-0.136699583383393,0.0692143584633154,0.0858224768690488,"*","",1.23995192290247
"beta_x_common1_y2","1101",17.7827941003892,"pAIC",0.773547641051562,0.0427448783096971,0.0435176765522131,"***","***",1.01807931787562
"beta_x_common2_y2","1101",17.7827941003892,"pAIC",-0.314044628532166,0.0424181569247204,0.0425792430170136,"***","***",1.00379757405724
"beta_x_specific2_1_y2","1101",17.7827941003892,"pAIC",0.510744077471964,0.0299450653850939,0.0301146609162098,"***","***",1.00566355521135
"A[1,1]","1101",17.7827941003892,"pAIC",,,,"","",
"A[1,2]","1101",17.7827941003892,"pAIC",,,,"","",
"A[2,1]","1101",17.7827941003892,"pAIC",,,,"","",
"A[2,2]","1101",17.7827941003892,"pAIC",,,,"","",
"R[1,1]","1101",17.7827941003892,"pAIC",0.367284235194765,0.05995742861791,0.0777757603550831,"***","***",1.29718305384181
"R[1,2]","1101",17.7827941003892,"pAIC",-0.192764363562765,0.0810756553267419,0.0884363431716542,"*","*",1.09078789206511
"R[2,1]","1101",17.7827941003892,"pAIC",0.104768451175441,0.0624137478431207,0.0754843073176564,".","",1.20941795559832
"R[2,2]","1101",17.7827941003892,"pAIC",0.226184494882221,0.0829290062700919,0.0870281932369148,"**","**",1.04943007460468
"Lambda[1,1]","1101",17.7827941003892,"pAIC",0.274116764411302,0.0755379836344576,0.0788576524918171,"***","***",1.04394701443745
"Lambda[1,2]","1101",17.7827941003892,"pAIC",-0.100425506512194,0.0792607105669863,0.080079094163153,"","",1.01032521144855
"Lambda[2,1]","1101",17.7827941003892,"pAIC",0.0423270278058082,0.0748287065870087,0.0778485507936048,"","",1.04035676071836
"Lambda[2,2]","1101",17.7827941003892,"pAIC",0.358214134811115,0.0769973962118428,0.0802164162866439,"***","***",1.04180686923418
"Sigma[1,1]","1101",17.7827941003892,"pAIC",0.928176426308592,,,"","",
"Sigma[1,2]","1101",17.7827941003892,"pAIC",0.609277860537006,,,"","",
"Sigma[2,2]","1101",17.7827941003892,"pAIC",0.728838920914707,,,"","",
"beta_intercept_y1","0101",1.77827941003892,"pAIC",0.611161546591771,0.0798723792431794,0.0799094736230159,"***","***",1.00046442061934
"beta_x_common1_y1","0101",1.77827941003892,"pAIC",1.06602564387437,0.0473129726911654,0.0474117391632137,"***","***",1.00208751355982
"beta_x_common2_y1","0101",1.77827941003892,"pAIC",-0.547045379184419,0.047253105910474,0.0475746663962989,"***","***",1.00680506560636
"beta_x_specific1_1_y1","0101",1.77827941003892,"pAIC",0.778188752545893,0.032309385952645,0.0326655020676159,"***","***",1.01102206385144
"beta_intercept_y2","0101",1.77827941003892,"pAIC",-0.106632318422703,0.0986639905881567,0.0988096640542413,"","",1.00147646030954
"beta_x_common1_y2","0101",1.77827941003892,"pAIC",0.736603372643718,0.0405399583260761,0.0406235615905429,"***","***",1.00206224347333
"beta_x_common2_y2","0101",1.77827941003892,"pAIC",-0.30351637568126,0.0405106928917368,0.0407453765159169,"***","***",1.00579312787385
"beta_x_specific2_1_y2","0101",1.77827941003892,"pAIC",0.491168229224882,0.0287960919942043,0.0289146797210422,"***","***",1.00411818822019
"A[1,1]","0101",1.77827941003892,"pAIC",,,,"","",
"A[1,2]","0101",1.77827941003892,"pAIC",,,,"","",
"A[2,1]","0101",1.77827941003892,"pAIC",,,,"","",
"A[2,2]","0101",1.77827941003892,"pAIC",,,,"","",
"R[1,1]","0101",1.77827941003892,"pAIC",,,,"","",
"R[1,2]","0101",1.77827941003892,"pAIC",,,,"","",
"R[2,1]","0101",1.77827941003892,"pAIC",,,,"","",
"R[2,2]","0101",1.77827941003892,"pAIC",,,,"","",
"Lambda[1,1]","0101",1.77827941003892,"pAIC",0.847052360876063,0.192225583532573,0.200078342843722,"***","***",1.04085179072857
"Lambda[1,2]","0101",1.77827941003892,"pAIC",-0.41410898230312,0.179757407880364,0.191147725169875,"*","*",1.06336493958063
"Lambda[2,1]","0101",1.77827941003892,"pAIC",0.311771590676297,0.165986736229415,0.174064063336677,".",".",1.04866248527291
"Lambda[2,2]","0101",1.77827941003892,"pAIC",0.492812809246008,0.0887212015397497,0.0946816458987492,"***","***",1.06718173622039
"Sigma[1,1]","0101",1.77827941003892,"pAIC",0.940721650429724,,,"","",
"Sigma[1,2]","0101",1.77827941003892,"pAIC",0.60909247426464,,,"","",
"Sigma[2,2]","0101",1.77827941003892,"pAIC",0.716249848799687,,,"","",
"beta_intercept_y1","1001",12.5892541179417,"pAIC",0.305712001130798,0.0482026654728784,0.0703927649550237,"***","***",1.46035005044754
"beta_x_common1_y1","1001",12.5892541179417,"pAIC",1.0924188613417,0.0494474448153486,0.0496094968543483,"***","***",1.00327725809908
"beta_x_common2_y1","1001",12.5892541179417,"pAIC",-0.549089985687156,0.0489247876814251,0.0489662801518787,"***","***",1.00084808687824
"beta_x_specific1_1_y1","1001",12.5892541179417,"pAIC",0.797455810567545,0.0325146354694893,0.0328081871101747,"***","***",1.00902829253494
"beta_intercept_y2","1001",12.5892541179417,"pAIC",-0.0707179892211034,0.0429837624695165,0.0621842348995277,".","",1.446691292872
"beta_x_common1_y2","1001",12.5892541179417,"pAIC",0.761556765788683,0.0440933728247751,0.0442028496068052,"***","***",1.00248283982414
"beta_x_common2_y2","1001",12.5892541179417,"pAIC",-0.302666502632286,0.0435469075726629,0.0435709898375094,"***","***",1.00055301894414
"beta_x_specific2_1_y2","1001",12.5892541179417,"pAIC",0.502530012846736,0.0306916622548226,0.0307578129297755,"***","***",1.00215533047392
"A[1,1]","1001",12.5892541179417,"pAIC",,,,"","",
"A[1,2]","1001",12.5892541179417,"pAIC",,,,"","",
"A[2,1]","1001",12.5892541179417,"pAIC",,,,"","",
"A[2,2]","1001",12.5892541179417,"pAIC",,,,"","",
"R[1,1]","1001",12.5892541179417,"pAIC",0.461693681220929,0.0496678440565744,0.0709830941361218,"***","***",1.42915593548349
"R[1,2]","1001",12.5892541179417,"pAIC",-0.184778656466256,0.0686729724329441,0.086743421236302,"**","*",1.26313771143375
"R[2,1]","1001",12.5892541179417,"pAIC",0.0580175324254959,0.0455641117717281,0.0645937788102062,"","",1.41764595640128
"R[2,2]","1001",12.5892541179417,"pAIC",0.477866324521376,0.0550467884245621,0.067747972685942,"***","***",1.2307343375497
"Lambda[1,1]","1001",12.5892541179417,"pAIC",,,,"","",
"Lambda[1,2]","1001",12.5892541179417,"pAIC",,,,"","",
"Lambda[2,1]","1001",12.5892541179417,"pAIC",,,,"","",
"Lambda[2,2]","1001",12.5892541179417,"pAIC",,,,"","",
"Sigma[1,1]","1001",12.5892541179417,"pAIC",0.928517338640659,,,"","",
"Sigma[1,2]","1001",12.5892541179417,"pAIC",0.610368872698174,,,"","",
"Sigma[2,2]","1001",12.5892541179417,"pAIC",0.737440853749223,,,"","",
